,day,research,arabic,book,teaching,service,other,freethink,total,time,activities,Sleep,Exercise,
TOTAL ,,33.55,3.05,0,0,1.25,13.55,3.6,55,,,,,
,,1.12,0.44,0,0,1.25,0.65,1.2,0.89,,,,,
,,,,,,,,,,,,,,
GOALS,,30,7,0,0.1,1,21,3,62.1,,,,,
4/13/2014,S,,,,,0.25,0.25,,0.5,1:00:00,,extra,,
4/14/2014,M,11.45,0.7,,,0.5,1.2,0.5,14.35,1:30:00,jihad2,late,no,
4/15/2014,T,6.55,0.15,,,,0.5,0.25,7.45,11:30:00,"jihad2 done, took time off",,climb,
4/16/2014,W,3.1,0.25,,,,3.6,,6.95,5:50:00,"frontier, seminars",12 hours,no - too sore,
4/17/2014,Th,0.5,,,,,6.6,0.25,7.35,10:30:00,isq review,,moved davis',
4/18/2014,F,2,,,,,5.6,,7.6,9:44:00,"io review, comptxt rejection",,run,
4/19/2014,S,,,,,,,,0,,did nothing -- surf and fix wetsuit,5 hrs,surf,
TOTAL ,,23.6,1.1,0,0,0.75,17.75,1,44.2,,,,,
,,0.79,0.16,0,0,0.75,0.85,0.33,0.71,,,,,
,,,,,,,,,,,,,,
GOALS,,27,7,0,0.1,1,25,3,63.1,,,,,
4/6/2014,S,,2,,,,3,,5,8:45:00,NEMEPW,,,
4/7/2014,M,3,1.1,,,1,1.75,1,7.85,4:45:00,"decap, xxxx, ",extra,swim,
4/8/2014,T,5.3,0.33,,,0.25,4.25,0.5,10.63,8:30:00,"VeF, PV breakfast, JFRL, jihad2",,no,
